GENESIS-Tabelle: 11111-0001
Gebietsfl�che: Bundesl�nder, Stichtag;
Feststellung des Gebietsstands;
Gebietsfl�che (qkm);
;Stichtag
;31.12.2022
Baden-W�rttemberg;35747,85
Bayern;70541,58
Berlin;891,12
Brandenburg;29654,38
Bremen;419,61
Hamburg;755,09
Hessen;21115,62
Mecklenburg-Vorpommern;23294,90
Niedersachsen;47709,90
Nordrhein-Westfalen;34112,72
Rheinland-Pfalz;19857,97
Saarland;2571,52
Sachsen;18449,86
Sachsen-Anhalt;20467,20
Schleswig-Holstein;15804,30
Th�ringen;16202,37
Insgesamt;357595,99
__________
"Gebietsfl�che:
Berlin (1995-2000):
bezogen auf den Gebietsstand 01.01.2001.

Rheinland-Pfalz:
Landessumme ab 2004 einschlie�lich des Gebietes ""gemeinsames
deutsch-luxemburgisches Hoheitsgebiet"" von 6,20 qkm.

Sachsen (1995):
bezogen auf den Gebietsstand 01.01.1996."
� Statistisches Bundesamt (Destatis), 2023
Stand: 12.07.2024 / 08:47:19
