GENESIS-Tabelle: 14111-0001
Wahlberechtigte, Wähler, Wahlbeteiligung, Erststimmen,;;
Zweitstimmen (Allgemeine Bundestagswahlstatistik):;;
Deutschland, Stichtag;;
Allgemeine Bundestagswahlstatistik;;
Deutschland;;
;;26.09.2021
Wahlberechtigte;Anzahl;61181072
Wähler;Anzahl;46854508
Wahlbeteiligung;Prozent;76,6
Gültige Erststimmen;Anzahl;46362013
Anteil gültiger Erststimmen;Prozent;98,9
Gültige Zweitstimmen;Anzahl;46442023
Anteil gültiger Zweitstimmen;Prozent;99,1
Ungültige Erststimmen;Anzahl;492495
Anteil ungültiger Erststimmen;Prozent;1,1
Ungültige Zweitstimmen;Anzahl;412485
Anteil ungültiger Zweitstimmen;Prozent;0,9
__________
© Statistisches Bundesamt (Destatis), 2023
Stand: 12.07.2024 / 18:20:16
